Step_ID,Track_ID,Ensemble_Name,Ensemble_Member,Run_Date,Valid_Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,Centroid_X,Centroid_Y,Storm_Motion_U,Storm_Motion_V,REFL_1KM_AGL_mean,REFL_1KM_AGL_max,REFL_1KM_AGL_min,U10_mean,U10_max,U10_min,V10_mean,V10_max,V10_min,MLCAPE-potential_mean,MLCAPE-potential_max,MLCAPE-potential_min,area,eccentricity,major_axis_length,minor_axis_length,orientation,Matched,Max_Hail_Size,Num_Matches,Shape,Location,Scale
d01_REFL_COM_20110428-0000_29_29_257_00,d01_REFL_COM_20110428-0000_29_29_257,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-70.99529,39.33912,2514403.70286,529834.14449,51000.00000,54000.00000,36.79463,45.11768,0.00000,3.53861,9.36747,-2.89048,10.70105,15.19928,5.85941,137.34544,341.41568,0.00000,261,0.93854,36.86085,12.72306,-0.98506,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_29_258_00,d01_REFL_COM_20110428-0000_29_29_258,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-70.73860,39.85252,2516585.23035,590509.08193,54000.00000,87000.00000,37.20132,50.12066,30.84267,2.50481,6.37571,0.20761,10.75817,13.88526,8.63072,47.21928,179.24379,0.00000,421,0.78095,34.52527,21.56408,-1.11793,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_30_30_259_00,d01_REFL_COM_20110428-0000_30_30_259,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 06:00:00+00:00,30,6,1,-84.59112,26.83445,1642574.95063,-1130496.65500,21000.00000,0.00000,40.97092,50.60281,23.84840,0.36840,2.33116,-1.32603,-9.15559,-7.98399,-10.11471,1668.56494,1814.01892,1405.68140,26,0.68498,6.77078,4.93296,1.30030,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_30_31_260_00,d01_REFL_COM_20110428-0000_30_31_260,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 06:00:00+00:00,30,6,1,-81.12785,29.92911,1908802.96831,-722288.91860,-18000.00000,-39000.00000,39.64042,47.44190,30.62924,5.48898,9.76794,2.70496,-4.91100,1.13353,-8.68398,80.33595,434.50446,0.00000,74,0.87964,14.31682,6.80965,0.04751,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_30_31_260_01,d01_REFL_COM_20110428-0000_30_31_260,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 07:00:00+00:00,31,7,2,-81.32397,29.55279,1899304.67525,-767472.42728,-12000.00000,-27000.00000,39.03830,47.30865,30.13825,2.40940,4.26399,-0.30542,-2.72842,0.67118,-4.65059,23.71717,362.66364,0.00000,58,0.79967,11.76069,7.06166,-0.98567,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_30_30_261_00,d01_REFL_COM_20110428-0000_30_30_261,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 06:00:00+00:00,30,6,1,-78.42754,30.11066,2158155.71724,-642091.64190,21000.00000,3000.00000,41.55238,52.59238,23.95012,1.94364,5.26857,-1.56478,8.99840,12.19730,6.60118,1756.16638,1954.55066,1604.30762,38,0.82662,9.57295,5.38734,-0.79602,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_30_30_262_00,d01_REFL_COM_20110428-0000_30_30_262,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 06:00:00+00:00,30,6,1,-79.03651,30.65518,2086535.27543,-597375.25020,0.00000,-15000.00000,45.10871,50.13914,37.74667,2.34999,3.66494,1.02915,11.33976,12.54759,9.85548,1296.68750,1421.50269,1160.99841,13,0.00000,4.15100,4.15100,0.78540,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_30_32_263_00,d01_REFL_COM_20110428-0000_30_32_263,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 06:00:00+00:00,30,6,1,-78.85894,30.96283,2094791.69744,-559998.27105,21000.00000,-3000.00000,41.16953,49.57580,26.98989,5.81976,9.17602,1.03664,-1.37609,12.33450,-8.04094,1608.70483,1693.84692,1511.86987,41,0.82130,10.98557,6.26730,-0.35463,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_30_32_263_01,d01_REFL_COM_20110428-0000_30_32_263,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 07:00:00+00:00,31,7,2,-78.68984,30.99711,2109539.66265,-552377.96661,18000.00000,3000.00000,43.15378,50.60265,23.83136,6.15805,7.35941,4.86349,-4.01038,-2.65377,-5.77880,1163.45398,1452.31714,459.56314,39,0.76811,8.92296,5.71348,0.50804,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_30_32_263_02,d01_REFL_COM_20110428-0000_30_32_263,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 08:00:00+00:00,32,8,3,-78.46021,30.82291,2135576.17369,-565836.37137,21000.00000,-12000.00000,41.28484,52.09780,27.32620,7.31898,9.16918,4.74052,-2.99908,10.32125,-6.23919,1089.35303,1478.05493,299.01321,51,0.82366,11.89738,6.74676,-0.61377,0,0,0,0,0,0
